"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"AT&T","10/13/2020","Telephone","Other: Digital Divide","Telephone call from George Granger to Elisabeth Perez regarding Portland's digital divide project.","Perez, Elisabeth","George Granger",
"AT&T","10/20/2020","Email","Other: Digital Divide","E-Mail from Elisabeth Perez to George Granger regarding Portland's digital divide project.","Perez, Elisabeth","George Granger",
"AT&T","11/17/2020","Email","Other: Digital Divide","E-Mail from Elisabeth Perez to George Granger regarding Portland's digital divide project. Clarifying AT&T's service offerings.","Perez, Elisabeth","George Granger",
"AT&T","11/18/2020","Email","Other: Digital Divide Project","E-Mail from George Granger to Elisabeth Perez indicating that I would be unable to attend Portland's digital divide project meeting.","Perez, Elisabeth","George Granger",
"AT&T","11/18/2020","Email","Other: Digital Divide Project","E-Mail from Elisabeth Perez to George Granger acknowledging my earlier e-mail regarding committee attendance.","Perez, Elisabeth","George Granger",
"AT&T","11/18/2020","Email","Other: Digital Divide","E-Mail from George Granger to Elisabeth Perez acknowledging her e-mail reply regarding digital divide committee attendance.","Perez, Elisabeth","George Granger",
"AT&T","11/20/2020","Email","Other: Digital Divide Project","E-Mail from George Granger to Elisabeth Perez to schedule a call regarding Portland's digital divide project and AT&T service offerings.","Perez, Elisabeth","George Granger",
"AT&T","11/20/2020","Email","Other: Digital Divide Project","E-mail from Elisabeth Perez to George Granger confirming availability for a call to discuss Portland's digital divide project.","Perez, Elisabeth","George Granger",
"AT&T","11/20/2020","Telephone","Other: Digital Divide Project","Telephone call with Elisabeth Perez to discuss Portland's digital divide project and to clarify AT&T service offerings related to the project.","Perez, Elisabeth","George Granger",
"AT&T","11/22/2020","Telephone","Other: Digital Divide Project","E-mail from Elisabeth Perez to George Granger asking additional questions regarding AT&T's service offerings relating to the city's digital divide project.","Perez, Elisabeth","George Granger",
"AT&T","11/23/2020","Email","Other: Digital Divide Project","E-mail from George Granger to Elisabeth Perez attaching AT&T service brochures in support of the city's digital divide project.","Perez, Elisabeth","George Granger",
"AT&T","11/25/2020","Email","Other: AT&T's Connect Learning Program","E-Mail from Elisabeth Perez to George Granger posing questions regarding AT&T's Connected Learning Program.","Perez, Elisabeth","George Granger",
"AT&T","12/03/2020","Email","Other: AT&T's Connected Learning Program","E-mail from Elisabeth Perez to George Granger following-up on AT&T's Connected Learning Program.","Perez, Elisabeth","George Granger",
"AT&T","12/03/2020","Email","Other: Digital Divide Project/AT&T's Connected Learning Program","E-Mail from George Granger to Elisabeth Perez following-up on questions related to AT&T's service offerings and AT&T's Connected Learning Program.","Perez, Elisabeth","George Granger",
"AT&T","12/07/2020","Email","Other: Staff Recognition","E-mailed letter to Chris Warner thanking the staff at PBOT for their professionalism during a challenging year, A hard copy of the letter was also mailed on 12/7/20. Wheeler and Eudaly were cc'd.","Eudaly, Chloe; Warner Chris; Wheeler, Ted","George Granger",
"AT&T","12/07/2020","Email","Other: Staff Recognition","E-mailed letter to Rebecca Esau thanking the staff at BDS for their professionalism during a challenging year, A hard copy of the letter was also mailed on 12/7/20. Mayor Wheeler was cc'd.","Esau, Rebecca; Wheeler, Ted","George Granger",
"AT&T","12/18/2020","Email","Other: Staff Recognition","E-mail from Rebecca Esau on December 18th thanking AT&T for recognizing the professionalism of BDS in 2020. Ms. Esau cc'd Commissioner Dan Ryan and Mayor Ted Wheeler in her e-mail reply.","Esau, Rebecca; Ryan, Dan; Ryan, Dan; Wheeler, Ted","George Granger",
"Coalition of Communities of Color","11/18/2020","Telephone","Other: Portland Clean Energy Fund","Updates and discussion of Portland Clean Energy Fund program and Portland Clean Energy Fund Coalition work.","Diaz, Sam","Anissa Pemberton",
