"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"1803 Fund","01/09/2026","","Virtual Meeting","Planning","PBOT Planning ","Millicent Williams","Cyreena Boston Ashby ",
"1803 Fund","01/14/2026","","Goodwill Building (non-lobbying)","Planning","Planning; Overview of 1803","Raihana Ansary ","Cyreena Boston Ashby ",
"1803 Fund","01/21/2026","","Goodwill Building (non-lobbying)","Business and Economic Development","Introductory Meeting ","Raymond Lee","Cyreena Boston Ashby ",
"1803 Fund","01/22/2026","","Goodwill Building (non-lobbying)","Planning","NE Portland Planning ","Aisling Coghlan","Cyreena Boston Ashby ",
"1803 Fund","02/06/2026","","Virtual Meeting","Planning","Planning","Aisling Coghlan; Donnie Oliveira","Cyreena Boston Ashby ",
"1803 Fund","02/17/2026","","Meeting Preparation","Planning","Planning. ","Raihana Ansary ","Cyreena Boston Ashby ",
"1803 Fund","02/19/2026","","Goodwill Building (non-lobbying)","Planning","Planning & Education","Keith Wilson; Raihana Ansary ","Cyreena Boston Ashby ; Thomas Cody ",
"1803 Fund","02/25/2026","03/25/2026","Virtual Meeting","Planning","Planning ","Raihana Ansary ","Cyreena Boston Ashby ",
"350PDX","01/01/2026","03/31/2026","Email; Personal Meeting; Text Message","Environment: natural","Tear gas","Jacq Tjaden; Sameer Kanal; Shaniqua Henry-Davis","Cherice Bock",
"350PDX","01/01/2026","03/31/2026","Email; Personal Meeting","Environment: natural","Building emissions","Candace Avalos; Sofia Diffee","Cherice Bock",
"350PDX","01/01/2026","03/31/2026","Communication Preparation; Email","Environment: natural","CEI Hub and Economic Opportunities Analysis","Brian Ames; Eli Spevak; Erica Thompson; Steph Routh","Cherice Bock",
"350PDX","01/15/2026","","Committee Meeting","Environment: natural","Cascadia Subduction Zone","Angelita Morillo; Candace Avalos; Dan Ryan; Sameer Kanal; Steve Novick","Cherice Bock",
"350PDX","01/22/2026","03/19/2026","Email; Personal Meeting","Environment: natural","PCEF","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Shaniqua Henry-Davis; Steve Novick; Tiffany Koyama Lane","Cherice Bock; Noelle Studer-Spevak",
"350PDX","03/12/2026","","Email","Environment: natural","Title 11 Tree Code","Jacque Dixon; Madeline West","Noelle Studer-Spevak",
