"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"1000 Friends of Oregon","10/17/2025","","Virtual Meeting","Planning","Accessible housing","Alan DeLaTorre","Cassie Wilson",
"1000 Friends of Oregon","12/08/2025","","Personal Meeting","Transportation: streets, sidewalks and street lighting","transit","Angelita Morillo","Cassie Wilson",
"1000 Friends of Oregon","12/09/2025","","Virtual Meeting","Transportation: streets, sidewalks and street lighting","transportation, accessibility","Alan DeLaTorre","Cassie Wilson",
"1803 Fund","10/10/2025","","Virtual Meeting","Planning","Development Partnership.","Aisling Coghlan; Donnie Oliveira; Raihana Ansary ","Cyreena Boston Ashby ; Thomas Cody ",
"1803 Fund","10/10/2025","","Personal Meeting","Planning","Development Review. ","Cornell Wesley","Cyreena Boston Ashby ; Thomas Cody ",
"1803 Fund","10/24/2025","","Virtual Meeting","Planning","Development. ","Aisling Coghlan; Donnie Oliveira; Raihana Ansary ","Cyreena Boston Ashby ; Thomas Cody ",
"1803 Fund","11/19/2025","","Personal Meeting","Planning","Development Overview. ","Millicent Williams; Priya Dhanapal","Cyreena Boston Ashby ; Thomas Cody ",
"1803 Fund","11/24/2025","","Indirect Lobbying; Telephone","Planning","Communications Planning. ","Raihana Ansary ","Cyreena Boston Ashby ",
"1803 Fund","12/17/2025","","Virtual Meeting","Planning","Meeting Planning. ","Priya Dhanapal","Cyreena Boston Ashby ",
"1803 Fund","12/17/2025","","Goodwill Building (non-lobbying)","Planning","Discussing various planning needs and goals for the City of Portland. ","Eric Engstrom","Cyreena Boston Ashby ; Thomas Cody ",
"350PDX","10/01/2025","10/22/2025","Committee Meeting; Communication Preparation; Email; Indirect Lobbying; Personal Meeting; Telephone; Text Message","Environment: natural","Urban Forest Plan","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Jamie Dunphy; Meredith Wadlington; Sameer Kanal; Shaniqua Henry-Davis; Sofia Diffee; Spencer Knowles; Steve Novick; Suzy Deuster; Zach Ward","Cherice Bock",
"350PDX","10/01/2025","12/19/2025","Committee Meeting; Communication Preparation; Email; Indirect Lobbying; Meeting Preparation; Personal Meeting; Virtual Meeting","Environment: natural","Critical Energy Infrastructure Hub: policy project","Angelita Morillo; Candace Avalos; Dan Ryan; Eli Spevak; Eric Engstrom; Maria Sipin; Meredith Wadlington; Mitch Green; Sameer Kanal; Shaniqua Henry-Davis; Sofia Diffee; Spencer Knowles; Steph Routh; Steve Novick; Suzy Deuster; Vivian Satterfield","Cherice Bock",
"350PDX","10/01/2025","12/19/2025","Committee Meeting; Communication Preparation; Email; Indirect Lobbying; Meeting Preparation; Personal Meeting; Text Message; Virtual Meeting","Environment: natural","Economic Opportunities Analysis","Angelita Morillo; Eli Spevak; Eric Engstrom; Maria Sipin; Meredith Wadlington; Mitch Green; Sameer Kanal; Shaniqua Henry-Davis; Spencer Knowles; Steph Routh; Steve Novick; Suzy Deuster; Zach Ward","Cherice Bock",
"350PDX","10/01/2025","12/19/2025","Email; Text Message","Environment: natural","Environmental impacts of tear gas","Sameer Kanal; Shaniqua Henry-Davis","Cherice Bock",
"350PDX","10/01/2025","10/31/2025","Communication Preparation; Email","Environment: natural","""Renewable"" Fuels TAC","Eric Engstrom; Vivian Satterfield","Cherice Bock",
"350PDX","10/01/2025","10/21/2025","Direct Mail; Email; Indirect Lobbying","Environment: natural","Portland Urban Forest Plan Amendment: sharing cost benchmarking data on tree maintenance and sidewalk repair and amendment analysis","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Kristin Johnson; Loretta Smith; Madeline West; Mitch Green; Olivia Clark; Sameer Kanal; Shaniqua Henry-Davis; Sofia Diffee; Spencer Knowles; Steve Novick; Tiffany Koyama Lane","Noelle Studer-Spevak",
"350PDX","11/14/2025","","Goodwill Building (non-lobbying)","Environment: natural","Expressing appreciation for work done on the Portland Urban Forestry Plan amendment","Shaniqua Henry-Davis","Noelle Studer-Spevak",
"ACLU of Oregon, Inc.","10/01/2025","12/31/2025","Communication Preparation; Email; Goodwill Building (non-lobbying); Indirect Lobbying; Meeting Preparation; Personal Meeting; Social Media; Telephone; Text Message; Virtual Meeting","Other: democracy, civil liberties, civil rights","Response to federal actions - military, immigration, etc - targeted against Portland","Aisling Coghlan; Amani Kelekele; Andre Miller; Angelita Morillo; Bob Cozzie; Candace Avalos; Dan Ryan; Devyn Melnychuk; Elana Pirtle-Guiney; Elijah Crawford; Eric Zimmerman; Jamey Evenstar; Jamie Dunphy; Jordan Wiley; Keith Wilson; Kezia Wanner; Lauren Jin; Lisa Freeman; Loretta Smith; Luke Zak; Madeline West; Mary Li; Mitch Green; Natalie Sept; Olivia Clark; Robert Day; Ryan Nielsen; Sameer Kanal; Shad Ahmed; Shully Wasserstrom; Spencer Knowles; Steve Novick; Taylor Zajonic; Tiffany Koyama Lane","Alyssa Keller; Ethan Krow; Jessica Maravilla; Mariana Garcia Medina; Michael Abrams; Sandy Chung",
"ACLU of Oregon, Inc.","10/01/2025","11/19/2025","Communication Preparation; Email; Meeting Preparation; Personal Meeting; Telephone; Text Message; Virtual Meeting","Other: Civil liberties and rights","AI rental price-fixing software ban","Andre Miller; Angelita Morillo; Suzy Deuster","Ethan Krow; Jessica Maravilla; Michael Abrams; Sandy Chung",
"ACLU of Oregon, Inc.","10/01/2025","12/31/2025","Communication Preparation; Email; Goodwill Building (non-lobbying); Meeting Preparation; Personal Meeting; Social Media; Telephone; Text Message; Virtual Meeting","Other: Civil rights and liberties, public safety","Immigrant rights-related policies, including those related to public safety and law enforcement","Aisling Coghlan; Andre Miller; Angelita Morillo; Candace Avalos; Elana Pirtle-Guiney; Eric Zimmerman; Jacq Tjaden; Jordan Wiley; Lisa Freeman; Mary Li; Sameer Kanal; Tiffany Koyama Lane","Alyssa Keller; Ethan Krow; Jessica Maravilla; Michael Abrams; Sandy Chung",
"ART Public Affairs, LLC","10/01/2025","12/31/2025","Meeting Preparation; Personal Meeting","Arts and Culture","Meetings about live performance venues and operations, emails to set up meetings with council members and respond to questions for the city council committees, members, and bureaus. ","Chariti Montez; Donnie Oliveira; Karl Lisle; Luke Zak","Anna Richter",
"Braided River Campaign","10/06/2025","","Meeting Preparation","Environment: natural","CEI Hub and EOA","Sameer Kanal; Shaniqua Henry-Davis","Marnie Glickman",
"Braided River Campaign","10/07/2025","","Virtual Meeting","Environment: natural","CEI Hub and EOA","Sameer Kanal; Shaniqua Henry-Davis","Marnie Glickman",
"Braided River Campaign","10/09/2025","","Meeting Preparation","Environment: natural","CEI Hub and EOA","Candace Avalos; Sofia Diffee","Marnie Glickman",
"Braided River Campaign","10/09/2025","","Committee Meeting","Environment: natural","Climate and land use policy","Angelita Morillo; Candace Avalos; Dan Ryan; Sameer Kanal; Steve Novick","Marnie Glickman",
"Braided River Campaign","10/10/2025","","Personal Meeting","Environment: natural","CEI Hub and EOA","Candace Avalos; Sofia Diffee","Marnie Glickman",
"Braided River Campaign","10/12/2025","","Meeting Preparation","Environment: natural","CEI Hub and EOA","Devin Mullins; Elana Pirtle-Guiney","Marnie Glickman",
"Braided River Campaign","10/13/2025","","Meeting Preparation","Environment: natural","CEI Hub and EOA","Jamie Dunphy","Marnie Glickman",
"Braided River Campaign","10/13/2025","","Meeting Preparation","Environment: natural","CEI Hub and EOA","Spencer Knowles; Steve Novick; Zach Ward","Marnie Glickman",
"Braided River Campaign","10/13/2025","","Personal Meeting","Environment: natural","CEI Hub and EOA","Devin Mullins; Elana Pirtle-Guiney","Marnie Glickman",
"Braided River Campaign","10/14/2025","","Personal Meeting","Environment: natural","CEI Hub and EOA","Jamie Dunphy","Marnie Glickman",
"Braided River Campaign","10/15/2025","","Personal Meeting","Environment: natural","CEI Hub and EOA","Spencer Knowles; Steve Novick; Zach Ward","Marnie Glickman",
"Braided River Campaign","10/15/2025","","Meeting Preparation","Environment: natural","CEI Hub and EOA","Keith Wilson; Raihana Ansary ","Marnie Glickman",
"Braided River Campaign","10/17/2025","","Personal Meeting","Environment: natural","CEI Hub and EOA","Keith Wilson; Raihana Ansary ","Marnie Glickman",
"Braided River Campaign","10/27/2025","","Personal Meeting","Police and Public Safety","Chemical munitions use by law enforcement","Lisa Freeman; Sameer Kanal","Marnie Glickman",
"Braided River Campaign","11/04/2025","","Virtual Meeting","Environment: natural","CEI Hub and EOA","Sameer Kanal; Shaniqua Henry-Davis","Marnie Glickman",
"Braided River Campaign","11/10/2025","","Email","Environment: natural","EOA","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Engstrom; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Marnie Glickman",
"Braided River Campaign","11/13/2025","","Committee Meeting","Environment: natural","Climate and land use policy","Angelita Morillo; Candace Avalos; Dan Ryan; Sameer Kanal; Steve Novick","Marnie Glickman",
"Braided River Campaign","11/26/2025","","Meeting Preparation","Police and Public Safety","Chemical munitions use by law enrforcement","Lisa Freeman; Sameer Kanal","Marnie Glickman",
"Braided River Campaign","12/09/2025","","Personal Meeting","Environment: natural","CEI Hub and EOA","Maria Sipin; Mitch Green","Marnie Glickman",
"Braided River Campaign","12/10/2025","","Meeting Preparation","Environment: natural","CEI Hub and EOA","Olivia Clark","Marnie Glickman",
"Braided River Campaign","12/11/2025","","Personal Meeting","Environment: natural","CEI Hub and EOA","Olivia Clark","Marnie Glickman",
"Breach Collective","10/02/2025","12/09/2025","Committee Meeting; Email; Indirect Lobbying; Meeting Preparation; Personal Meeting; Telephone","Sustainable Development: energy","Discussions about Zenith Energy Investigations and Critical Energy Infrastructure Hub policy development","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Loretta Smith; Maria Sipin; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Suzy Deuster; Tiffany Koyama Lane","Nicholas Caleb",
"Breach Collective","10/14/2025","12/14/2025","Telephone","Other: Emergency code","Emergency code","Mitch Green","Nicholas Caleb",
"Breach Collective","10/27/2025","11/10/2025","Email; Meeting Preparation; Personal Meeting; Telephone; Virtual Meeting","Environment: natural","Tear gas code development","Jacq Tjaden; Lisa Freeman; Shaniqua Henry-Davis","Nicholas Caleb",
"Breach Collective","11/14/2025","12/03/2025","Telephone; Text Message","Neighborhood Livability: nuisance","Detention Facility Impact Fee and code enforcement questions","Suzy Deuster","Nicholas Caleb",
"Breach Collective","11/14/2025","12/10/2025","Email; Personal Meeting; Virtual Meeting","Planning","Discussions about Climate and Health Standards for Existing Buildings policy","Sofia Diffee","Danny Noonan",
"Columbia Corridor Association","10/14/2025","","Personal Meeting","Business and Economic Development","Economic Opportunities Analysis impacts on land use and zone overlays","Dan Ryan; Kezia Wanner","Alexis Elias; Corky Collier",
"Columbia Corridor Association","10/14/2025","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Alderwood/Cully intersection project","Millicent Williams","Corky Collier",
"Columbia Corridor Association","11/04/2025","","Personal Meeting","Business and Economic Development","LID program location","Michael Jordan","Corky Collier",
"Columbia Corridor Association","11/04/2025","","Personal Meeting","Parks and Recreation: community centers","IBR off-ramp at Delta Park","Sonia Schmanski","Corky Collier",
"Columbia Corridor Association","12/15/2025","","Email","Transportation: streets, sidewalks and street lighting","Linking street maintenance to funding","Jonas Biery; Millicent Williams; Mitch Green; Olivia Clark","Corky Collier",
"Columbia Corridor Association","12/18/2025","","Personal Meeting","Other: No lobbying activity; just a retirement party.","Retirement party for Mike Jordan.","Donnie Oliveira; Michael Jordan; Millicent Williams","Corky Collier",
"Columbia Corridor Association","12/19/2025","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Discuss potential of citywide rail crossing study.","Millicent Williams","Corky Collier",
"Nancy Hiser","10/02/2025","12/18/2025","Committee Meeting; Communication Preparation; Email; Meeting Preparation; Social Media; Telephone; Virtual Meeting","Other: Community Safety","Supporting community Advocacy re: BPS' CEI Hub Policy Project","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Lisa Freeman; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Suzy Deuster; Tiffany Koyama Lane","Nancy G Hiser",
"Nancy Hiser","10/16/2025","11/13/2025","Email; Telephone; Text Message","Other: Community Safety","coordinating community advocacy for Planning Commission  on BPS' CEI Hub Policy Project","Steph Routh","Nancy G Hiser",
"Northwest Grocery Retail Association","10/07/2025","","Email","Neighborhood Livability: general","Alternative Access Redemption Center","Spencer Knowles; Steve Novick; Zach Ward","Amy Ruiz",
"Northwest Grocery Retail Association","10/14/2025","","Telephone","Neighborhood Livability: general","Alternative Access Redemption Center","Steve Novick","Amy Ruiz",
"Northwest Grocery Retail Association","10/22/2025","","Email","Neighborhood Livability: general","Alternative Access Redemption Center","Skyler Brocker-Knapp; Taylor Zajonic","Amanda Dalton; Amy Ruiz",
"Northwest Grocery Retail Association","11/02/2025","","Email","Neighborhood Livability: general","Alternative Access Redemption Center","Skyler Brocker-Knapp; Taylor Zajonic","Amanda Dalton; Amy Ruiz",
"Northwest Grocery Retail Association","11/07/2025","","Personal Meeting","Neighborhood Livability: general","Alternative Access Redemption Center","Steve Novick; Zach Ward","Amy Ruiz",
"Northwest Grocery Retail Association","11/19/2025","","Email","Neighborhood Livability: general","Alternative Access Redemption Center","Skyler Brocker-Knapp; Taylor Zajonic","Amanda Dalton; Amy Ruiz",
"Northwest Grocery Retail Association","12/05/2025","","Virtual Meeting","Neighborhood Livability: general","Alternative Access Redemption Center","Skyler Brocker-Knapp","Amanda Dalton; Amy Ruiz",
"Northwest Grocery Retail Association","12/10/2025","","Email","Neighborhood Livability: general","Alternative Access Redemption Center","Skyler Brocker-Knapp; Taylor Zajonic","Amanda Dalton; Amy Ruiz",
"Northwest Grocery Retail Association","12/19/2025","","Virtual Meeting","Neighborhood Livability: general","Alternative Access Redemption Center","Skyler Brocker-Knapp","Amanda Dalton; Amy Ruiz",
"Northwest Grocery Retail Association","12/19/2025","","Virtual Meeting","Neighborhood Livability: general","Alternative Access Redemption Center","Skyler Brocker-Knapp","Amanda Dalton; Amy Ruiz",
"Oregon Museum of Science and Industry ","10/20/2025","","Personal Meeting","Urban Renewal","OMSI redevelopment project","Cornell Wesley","Erin Graham",
"Oregon Museum of Science and Industry ","12/11/2025","","Telephone","Urban Renewal","OMSI redevelopment","Lorne Bulling","Dan Bates",
"Oregon Museum of Science and Industry ","12/12/2025","","Personal Meeting","Urban Renewal","OMSI redevelopment","Lorne Bulling","Erin Graham; Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","12/22/2025","","Personal Meeting","Transportation: streets, sidewalks and street lighting","OMSI redevelopment","Aisling Coghlan; Donnie Oliveira; Priya Dhanapal","Erin Graham",
"Oregon Smart Growth","10/14/2025","","Virtual Meeting","Housing and Community Development","LC 5 regarding inclusionary housing","Sam Chase","Amy Ruiz",
"Oregon Smart Growth","10/20/2025","","Personal Meeting","Housing and Community Development","SDCs, housing production","Donnie Oliveira","Amy Ruiz; Tom Rinehart",
"Oregon Smart Growth","10/24/2025","","Virtual Meeting","Housing and Community Development","social housing and landlord/tenant regs study","Helmi Hisserich; Sam Chase","Amy Ruiz; Tom Rinehart",
"Oregon Smart Growth","10/28/2025","","Personal Meeting","Business and Economic Development","meeting with CEDSA team to discuss housing production, permitting, SDCs, etc. ","Cornell Wesley; Donnie Oliveira; Eric Engstrom; Helmi Hisserich","Amy Ruiz; Kari Chisholm",
"Oregon Smart Growth","10/28/2025","","Virtual Meeting","Housing and Community Development","LC 5 regarding inclusionary housing","Christian Aguinaga ; Donnie Oliveira; Helmi Hisserich; Jamey Evenstar; Jamie Dunphy; Mitch Green; Sam Chase","Amy Ruiz",
"Oregon Smart Growth","11/05/2025","","Virtual Meeting","Housing and Community Development","development 101 presentation","Andre Miller; Angelita Morillo","Amy Ruiz",
"Oregon Smart Growth","11/11/2025","","Text Message","Financial Administration and Management","Smith budget amendment","Elijah Crawford","Amy Ruiz",
"Oregon Smart Growth","11/13/2025","","Email","Housing and Community Development","SDC deferrals","David Kuhnhausen","Tom Rinehart",
"Oregon Smart Growth","11/19/2025","","Email","Housing and Community Development","development 101 presentation ","Andre Miller","Amy Ruiz",
"Oregon Smart Growth","11/19/2025","","Telephone","Housing and Community Development","inclusionary housing, SDCs","Donnie Oliveira","Amy Ruiz",
"Oregon Smart Growth","11/19/2025","","Telephone","Housing and Community Development","Inclusionary housing","Donnie Oliveira","Amy Ruiz",
"Oregon Smart Growth","12/11/2025","","Personal Meeting","Business and Economic Development","annual OSG member meeting with many members in attendance for a Q&A with city leaders on topics related to the City's economic development strategy, housing production, permitting.","Cornell Wesley; Donnie Oliveira; Keith Wilson","Amy Ruiz; Tom Rinehart",
"Oregon Smart Growth","12/16/2025","","Text Message","Housing and Community Development","LC 5 regarding inclusionary housing","Dan Ryan; Kezia Wanner","Amy Ruiz",
"Oregon Smart Growth","12/17/2025","","Email","Housing and Community Development","LC 5 regarding inclusionary housing","Lorne Bulling","Amy Ruiz",
