"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Portland Business Alliance","11/03/2015","Telephone","Business and Economic Development","Fossil fuel policy","Novick, Steve","Marion Haynes",
"Portland Business Alliance","11/04/2015","Telephone","Business and Economic Development","Fossil fuel policy","Schmanski, Sonia","Marion Haynes",
"Portland Business Alliance","11/04/2015","Email","Business and Economic Development","Fossil fuel policy","Fish, Nick; Fritz, Amanda; Hales, Charlie; Novick, Steve; Saltzman, Dan","Marion Haynes",
"Portland Business Alliance","11/10/2015","Email","Business and Economic Development","Downtown marketing","Alpert, Josh","Sandra McDonough",
"Portland Business Alliance","11/10/2015","Personal Meeting","Business and Economic Development","Holiday launch","Hales, Charlie","Lisa Frisch; Lynnae Berg; Sandra McDonough",
"Portland Business Alliance","11/11/2015","Telephone","Business and Economic Development","Homelessness/ fuels","Fish, Nick","Sandra McDonough",
"Portland Business Alliance","11/11/2015","Telephone","Business and Economic Development","Fossil fuel policy","Schmanski, Sonia","Marion Haynes",
"Portland Business Alliance","11/11/2015","Telephone","Business and Economic Development","Transportation funding","Novick, Steve","Marion Haynes",
"Portland Business Alliance","11/12/2015","Text Message","Business and Economic Development","Fossil fuel policy","Novick, Steve","Sandra McDonough",
"Portland Business Alliance","11/12/2015","Personal Meeting","Business and Economic Development","Fossil fuel policy","Novick, Steve","Marion Haynes",
"Portland Business Alliance","11/12/2015","Telephone","Business and Economic Development","Fossil fuel policy","Shriver, Katie","Marion Haynes",
"Portland Business Alliance","11/12/2015","Telephone","Business and Economic Development","Fossil fuel policy","Finn, Brendan","Marion Haynes",
"Portland Business Alliance","11/12/2015","Telephone","Business and Economic Development","TNC hearing at council","Hockaday Bryan","Raihana Ansary",
"Portland Business Alliance","11/12/2015","Telephone","Business and Economic Development","Development impact/ linkage fee","Creager, Kurt","Raihana Ansary",
"Portland Business Alliance","11/12/2015","Telephone","Business and Economic Development","Development and review","Callahan, Shannon","Raihana Ansary",
"Portland Business Alliance","11/12/2015","Telephone","Business and Economic Development","TNC hearing/ regulations","Hockaday Bryan","Raihana Ansary",
"Portland Business Alliance","11/16/2015","Telephone","Business and Economic Development","Development impact/ linkage fee","Creager, Kurt","Raihana Ansary",
"Portland Business Alliance","11/20/2015","Personal Meeting","Business and Economic Development","Demo tax, homelessness, ban the box","Fritz, Amanda","Lynnae Berg; Marion Haynes; Mitch Hornecker; Raihana Ansary; Sandra McDonough",
"Portland Business Alliance","11/20/2015","Personal Meeting","Business and Economic Development","Amanda Fritz quarterly check-in","Fritz, Amanda","Lynnae Berg; Marion Haynes; Raihana Ansary; Sandra McDonough",
"Portland Business Alliance","11/23/2015","Text Message","Business and Economic Development","Superfund/ business summit invite","Fish, Nick","Sandra McDonough",
"Portland Business Alliance","11/23/2015","Personal Meeting","Business and Economic Development","Homeless, housing, ban the box","Finn, Brendan; Saltzman, Dan","Lynnae Berg; Marion Haynes; Mitch Hornecker; Raihana Ansary",
"Portland Business Alliance","11/23/2015","Email","Business and Economic Development","Ban the box","Finn, Brendan; Saltzman, Dan","Marion Haynes",
"Portland Business Alliance","11/23/2015","Personal Meeting","Business and Economic Development","Dan Saltzman quarterly check-in","Saltzman, Dan","Marion Haynes; Raihana Ansary",
"Portland Business Alliance","11/24/2015","Telephone","Business and Economic Development","Water bureau","Schmanski, Sonia","Marion Haynes",
"Portland Business Alliance","12/01/2015","Direct Mail","Business and Economic Development","Private-for-hire letter to Steve Novick","Fish, Nick; Fritz, Amanda; Hales, Charlie; Novick, Steve; Saltzman, Dan","Sandra McDonough",
"Portland Business Alliance","12/02/2015","Email","Business and Economic Development","TNC hearing/ regulations","Hockaday Bryan","Raihana Ansary",
"Portland Business Alliance","12/08/2015","Text Message","Business and Economic Development","Potential downtown shelter","Callahan, Shannon","Lynnae Berg",
"Portland Business Alliance","12/09/2015","Telephone","Business and Economic Development","Shelters","Callahan, Shannon","Marion Haynes",
"Portland Business Alliance","12/11/2015","Email","Business and Economic Development","Clean and Safe daily cleaning","Alpert, Josh","Lynnae Berg",
"Portland Business Alliance","12/14/2015","Personal Meeting","Business and Economic Development","Gas tax","Novick, Steve","Marion Haynes",
"Portland Business Alliance","12/15/2015","Personal Meeting","Business and Economic Development","Housing","Creager, Kurt","Marion Haynes",
"Portland Business Alliance","12/15/2015","Personal Meeting","Business and Economic Development","Shelter","Callahan, Shannon; Saltzman, Dan","Marion Haynes",
"Portland Business Alliance","12/17/2015","Email","Business and Economic Development","Homeless/ pearl district","Alpert, Josh","Sandra McDonough",
"Portland Business Alliance","12/18/2015","Telephone","Business and Economic Development","Shelter","Callahan, Shannon","Marion Haynes",
"Portland Business Alliance","12/28/2015","Telephone","Business and Economic Development","Downtown shelter","Callahan, Shannon","Lynnae Berg",
"Portland Business Alliance","12/28/2015","Telephone","Business and Economic Development","Shelter","Callahan, Shannon","Marion Haynes",
"Portland Metropolitan Association of Realtors","11/23/2015","Personal Meeting","Housing and Community Development","Meeting to discuss proposed Demolition Tax.","Finn, Brendan; Saltzman, Dan","Jane Leo",
"Portland Metropolitan Association of Realtors","11/24/2015","Personal Meeting","Housing and Community Development","Meeting to discuss proposed Demolition Tax.","Dunphy, Jamie; Fish, Nick; Schmanski, Sonia","Jane Leo",
"Portland Metropolitan Association of Realtors","11/25/2015","Committee Meeting","Housing and Community Development","Testified at Public Hearing before Commission on Demolition Tax","Fish, Nick; Fritz, Amanda; Hales, Charlie; Novick, Steve; Saltzman, Dan","Jane Leo",
"Portland Metropolitan Association of Realtors","11/25/2015","Personal Meeting","Housing and Community Development","Demolition Tax","Alpert, Josh","Jane Leo",
"Tobacco 21","10/01/2015","Email","Other: Tobacco ","How the city could enforce tobacco control regulations","Novick, Steve","Henry Philofsky",
"Uber Technologies, Inc.","10/08/2015","Email","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","10/09/2015","Email","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","11/16/2015","Email","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan; Warner, Chris","Nels Johnson",
"Uber Technologies, Inc.","11/17/2015","Email","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","12/17/2015","Email","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","10/29/2015","Email","Transportation: streets, sidewalks and street lighting","TNC Regulations","Alpert, Josh; Pierce, Tera","Nels Johnson",
"Uber Technologies, Inc.","10/29/2015","Email","Transportation: streets, sidewalks and street lighting","TNC Regulations","Grumm, Matthew","Nels Johnson",
"Uber Technologies, Inc.","10/02/2015","Email","Transportation: streets, sidewalks and street lighting","TNC Regulations","Blair, Aja; Schmanski, Sonia","Nels Johnson",
"Uber Technologies, Inc.","10/01/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","10/02/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","10/06/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","10/13/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","10/15/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","10/21/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","10/22/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","10/26/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","10/29/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","10/30/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","11/05/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","11/09/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","11/11/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","11/13/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","11/17/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","11/19/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","11/20/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","11/23/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","11/23/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","11/30/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","12/08/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","11/11/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Alpert, Josh","Nels Johnson",
"Uber Technologies, Inc.","11/13/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Warner, Chris","Nels Johnson",
"Uber Technologies, Inc.","11/11/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Finn, Brendan","Nels Johnson",
"Uber Technologies, Inc.","10/29/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Grumm, Matthew","Nels Johnson",
"Uber Technologies, Inc.","11/19/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Grumm, Matthew","Nels Johnson",
"Uber Technologies, Inc.","11/24/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Finn, Brendan","Nels Johnson",
"Uber Technologies, Inc.","11/30/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Grumm, Matthew","Nels Johnson",
"Uber Technologies, Inc.","10/05/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","10/08/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan; Warner, Chris","Bryce Bennett; Nels Johnson",
"Uber Technologies, Inc.","10/12/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","10/23/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan; Warner, Chris","Bryce Bennett; Nels Johnson",
"Uber Technologies, Inc.","11/02/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC Regulations","Alpert, Josh","Nels Johnson",
"Uber Technologies, Inc.","11/02/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","11/03/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","11/05/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC Regulations","Alpert, Josh; Pierce, Tera","Nels Johnson",
"Uber Technologies, Inc.","11/05/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC Regulations","Finn, Brendan","Nels Johnson",
"Uber Technologies, Inc.","11/05/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Nels Johnson",
"Uber Technologies, Inc.","11/05/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC Regulations","Wiggins, Rachel","Nels Johnson",
"Uber Technologies, Inc.","11/12/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC Regulations","Alpert, Josh; Hockaday Bryan; Novick, Steve; Warner, Chris; Wiggins, Rachel","Bryce Bennett; Nels Johnson",
"Uber Technologies, Inc.","12/01/2015","Email","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Daniel Bates",
"Uber Technologies, Inc.","12/01/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Grumm, Matthew","Daniel Bates",
"Uber Technologies, Inc.","12/01/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Daniel Bates",
"Uber Technologies, Inc.","12/01/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC Regulations","Alpert, Josh","Daniel Bates",
"Uber Technologies, Inc.","12/01/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Daniel Bates",
"Uber Technologies, Inc.","10/20/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Steve Siger",
"Uber Technologies, Inc.","10/23/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Steve Siger",
"Uber Technologies, Inc.","10/26/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Steve Siger",
"Uber Technologies, Inc.","11/05/2015","Email","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Steve Siger",
"Uber Technologies, Inc.","10/09/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","Wheelchair Accessible Vehicles","Hockaday Bryan","Bryce Bennett",
"Uber Technologies, Inc.","10/20/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Bryce Bennett",
"Uber Technologies, Inc.","10/26/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Bryce Bennett",
"Uber Technologies, Inc.","12/10/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Bryce Bennett",
"Uber Technologies, Inc.","12/16/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Bryce Bennett",
"Uber Technologies, Inc.","12/28/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Bryce Bennett",
"Uber Technologies, Inc.","12/30/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Bryce Bennett",
"Uber Technologies, Inc.","10/08/2015","Email","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Bryce Bennett",
"Uber Technologies, Inc.","10/09/2015","Email","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Bryce Bennett",
"Uber Technologies, Inc.","10/15/2015","Email","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Bryce Bennett",
"Uber Technologies, Inc.","10/16/2015","Email","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Bryce Bennett",
"Uber Technologies, Inc.","10/24/2015","Email","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Bryce Bennett",
"Uber Technologies, Inc.","10/08/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Caitlin O'Neill",
"Uber Technologies, Inc.","10/23/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Caitlin O'Neill",
"Uber Technologies, Inc.","11/06/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Caitlin O'Neill",
"Uber Technologies, Inc.","11/10/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan","Caitlin O'Neill",
"Uber Technologies, Inc.","11/16/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC Regulations","Hockaday Bryan; Warner, Chris","Caitlin O'Neill",
